Voltage U1	Current IA	Temperature Tact	Voltage U2	Voltage UH
U1/V	IA/nA	Tact/°C	U2/V	UH/V

10.32	0.05	195	2.0	6.3
10.35	0.05	195	2.0	6.3
10.37	0.05	195	2.0	6.3
10.40	0.04	195	2.0	6.3
10.42	0.13	195	2.0	6.3
10.45	0.13	195	2.0	6.3
10.47	0.13	195	2.0	6.3
10.50	0.13	195	2.0	6.3
10.52	0.14	195	2.0	6.3
10.54	0.02	195	2.0	6.3
10.57	0.02	195	2.0	6.3
10.59	0.04	195	2.0	6.3
10.62	0.05	195	2.0	6.3
10.64	0.05	195	2.0	6.3
10.67	0.04	195	2.0	6.3
10.69	0.06	195	2.0	6.3
10.72	0.07	195	2.0	6.3
10.74	0.07	195	2.0	6.3
10.76	0.08	195	2.0	6.3
10.79	0.10	195	2.0	6.3
10.81	0.09	195	2.0	6.3
10.84	0.10	195	2.0	6.3
10.86	0.11	195	2.0	6.3
10.89	0.12	195	2.0	6.3
10.91	0.13	195	2.0	6.3
10.94	0.13	195	2.0	6.3
10.96	0.14	195	2.0	6.3
10.98	0.14	195	2.0	6.3
11.01	0.13	195	2.0	6.3
11.03	0.12	195	2.0	6.3
11.06	0.12	195	2.0	6.3
11.08	0.13	195	2.0	6.3
11.11	0.15	195	2.0	6.3
11.13	0.17	195	2.0	6.3
11.15	0.17	195	2.0	6.3
11.18	0.19	195	2.0	6.3
11.20	0.19	195	2.0	6.3
11.23	0.19	195	2.0	6.3
11.25	0.20	195	2.0	6.3
11.28	0.21	195	2.0	6.3
11.30	0.23	195	2.0	6.3
11.33	0.24	195	2.0	6.3
11.35	0.25	195	2.0	6.3
11.37	0.26	195	2.0	6.3
11.40	0.27	195	2.0	6.3
11.42	0.27	195	2.0	6.3
11.45	0.29	195	2.0	6.3
11.47	0.28	195	2.0	6.3
11.50	0.28	195	2.0	6.3
11.52	0.26	195	2.0	6.3
11.55	0.25	195	2.0	6.3
11.57	0.26	195	2.0	6.3
11.59	0.26	195	2.0	6.3
11.62	0.26	195	2.0	6.3
11.64	0.28	195	2.0	6.3
11.67	0.31	195	2.0	6.3
11.69	0.31	195	2.0	6.3
11.72	0.32	195	2.0	6.3
